study_id	journal	doi	year	variable_measured	role_in_study	multi_item	scale_details	anchors	categories	analysis	dimension
AL 33_1-4	Applied Linguistics	https://doi.org/10.1093/applin/amr037	2012	Concreteness and imagery of items	stimulus validation	0	NA	NA	7	means	NA
AL 34-1_3	Applied Linguistics	https://doi.org/10.1093/applin/ams023	2013	Willingness to communicate	predictor	1	(1) almost never willing, (2) sometimes willing, (3) willing half of the time, (4) usually willing, (5) almost always willing	each category	5	means	frequency
AL 34-1_3	Applied Linguistics	https://doi.org/10.1093/applin/ams023	2013	Salience of daily hassles	outcome	1	(1) absence of annoyance or problems, (5) major source of annoyance or problems	NA	5	means	NA
AL 34-1_3	Applied Linguistics	https://doi.org/10.1093/applin/ams023	2013	Self-assessment: L2 confidence in reading, listening, speaking, writing	predictor	1	Likert-type	each category	7	means	agreement
AL 34-1_3	Applied Linguistics	https://doi.org/10.1093/applin/ams023	2013	Perceived stress	outcome	1	(1) not at all, (8) extreme	NA	8	means	NA
AL 34-2_6	Applied Linguistics	https://doi.org/10.1093/applin/ams041	2013	EFL anxiety	correlational variable	1	Likert-type	each category	7	means	agreement
AL 34-4_3	Applied Linguistics	https://doi.org/10.1093/applin/ams066	2013	Self-reported use of pronunciation strategies	correlational variable	0	(1) several times a day, (2) once a day, (3) once a week, (4) once a month, (5) less than once a month, (6) never	each category	6	means	NA
AL 34-4_3	Applied Linguistics	https://doi.org/10.1093/applin/ams066	2013	Pronunciation	correlational variable	0	1 to 7	numbers	7	means	NA
AL 34-4_4	Applied Linguistics	https://doi.org/10.1093/applin/ams074	2013	Difficulty of story	stimulus validation	0	(1) completely incomprehensible; I cannot understand the overall story at all and I couldn’t catch any of the details either, (10) completely comprehensible; I can understand the overall story and all of the details without any problems	endpoints	10	means	NA
AL 36-1_5	Applied Linguistics	https://doi.org/10.1093/applin/amt037	2015	Response to advertisement	outcome	1	Likert-type	each category	7	means	agreement
AL 36-5_4	Applied Linguistics	https://doi.org/10.1093/applin/amt056	2015	Global lexical proficiency rating	outcome	0	1 to 5	numbers	5	means	NA
AL 36-5_4	Applied Linguistics	https://doi.org/10.1093/applin/amt056	2015	Ratings of accuracy of various lexical features in text	predictor	0	1 to 6	numbers	6	means	NA
AL 36-5_8	Applied Linguistics	https://doi.org/10.1093/applin/amv020	2015	Motivation	outcome	1	Likert-type	each category	5	means	agreement
AL 36-5_8	Applied Linguistics	https://doi.org/10.1093/applin/amv020	2015	Self-regulating capacity in vocabulary learning	predictor	1	Likert-type	each category	5	means	agreement
AL 37-2_2	Applied Linguistics	https://doi.org/10.1093/applin/amu003	2016	Acceptability	outcome	0	(1) unacceptable, (5) perfectly acceptable	endpoints	5	means	NA
AL 37-3_1	Applied Linguistics	https://doi.org/10.1093/applin/amu021	2016	Classroom observation: Teacher motivational practices	predictor	1	(1) very often, (2) often, (3) occasionally, (4) rarely, (5) never	each category	5	means	frequency
AL 37-3_1	Applied Linguistics	https://doi.org/10.1093/applin/amu021	2016	Various learner variables	outcome	1	(1) very untrue, (2) untrue, (3) neutral, (4) true, (5) very true	each category	5	means	intensity
AL 37-3_1	Applied Linguistics	https://doi.org/10.1093/applin/amu021	2016	Classroom observation: Motivated learner behavior	outcome	1	(1) none, (2) few, (3) some, (4) many, (5) most	each category	5	means	quantifiers
AL 37-3_6	Applied Linguistics	https://doi.org/10.1093/applin/amu039	2016	Perceived difficulty of task	stimulus validation	0	(1) easy, (5) difficult	endpoints	5	means	NA
AL 37-4_3	Applied Linguistics	https://doi.org/10.1093/applin/amu046	2016	Motivation	outcome	1	Likert-type	each category	6	means	agreement
AL 37-5_5	Applied Linguistics	https://doi.org/10.1093/applin/amu060	2016	Exposure to accents	correlational variable	0	(1) rarely, (2) sometimes, (3) often, (4) very often	each category	4	means	frequency
AL 37-5_5	Applied Linguistics	https://doi.org/10.1093/applin/amu060	2016	Familiarity with accent	correlational variable	0	(1) not at all familiar, (2) a little familiar, (3) familiar, (4) very familiar	each category	4	means	intensity
